#
# contig_name	read_name
#
loci2_rep_c1	SGN-L5163-AJ249594|
loci2_rep_c1	SGN-L5163-AF190893|
loci2_rep_c1	SGN-U572928-5513|
loci2_rep_c1	SGN-L5163-AF190894|
loci2_rep_c1	SGN-U572928-5163|
loci2_rep_c1	SGN-L5163-AJ249595|
loci2_rep_c1	SGN-L5163-AJ249593|
loci2_rep_c1	SGN-L5163-AF190892|
loci2_rep_c1	SGN-L5163-AJ249592|
loci2_rep_c1	SGN-L5163-AF190891|
loci2_rep_c1	SGN-L5163-AK247066.1|
loci2_rep_c1	SGN-L5163-AJ421397|
loci2_rep_c2	SGN-L1599-A21360.1|
loci2_rep_c2	SGN-U580527-1599|
loci2_rep_c2	SGN-U580527-5338|
loci2_rep_c2	SGN-L1599-EF157836.1|
loci2_rep_c2	SGN-L1599-AK247060.1|
loci2_rep_c2	SGN-L1599-EF534739.1|
loci2_rep_c2	SGN-L1599-EF650010.1|
loci2_rep_c2	SGN-U590050-1599|
loci2_rep_c2	SGN-U590050-5338|
loci2_rep_c3	SGN-L1335-AF279453|
loci2_rep_c3	SGN-L4474-AF035631|
loci2_rep_c3	SGN-U572432-1335|
loci2_rep_c3	SGN-U572432-4474|
loci2_rep_c3	SGN-U572432-4471|
loci2_rep_c3	SGN-L4474-AF035630|
loci2_rep_c3	SGN-L4471-AF279454|
loci2_rep_c4	SGN-L1167-EF650011.1|
loci2_rep_c4	SGN-U565586-1167|
loci2_rep_c4	SGN-L1167-X59948|
loci2_rep_c4	SGN-L1167-S36691|
loci2_rep_c5	SGN-L498-Y13273|
loci2_rep_c5	SGN-U566677-498|
loci2_rep_c5	SGN-L498-AF096250|
loci2_rep_c5	SGN-L498-AF110518|
loci2_rep_c6	SGN-L1165-AJ001915|
loci2_rep_c6	SGN-U582123-1164|
loci2_rep_c6	SGN-U582123-1165|
loci2_rep_c7	SGN-U582122-1165|
loci2_rep_c7	SGN-U582122-1164|
loci2_rep_c7	SGN-L1165-AJ001916|
loci2_rep_c8	SGN-L1164-AJ001914|
loci2_rep_c8	SGN-U594815-1165|
loci2_rep_c8	SGN-U594815-1164|
loci2_rep_c9	SGN-L1126-U50985|
loci2_rep_c9	SGN-U563073-1125|
loci2_rep_c9	SGN-L1126-X74639|
loci2_rep_c9	SGN-U563073-1126|
loci2_rep_c9	SGN-L1126-A15983.1|
loci2_rep_c9	SGN-L1126-X07910|
loci2_rep_c10	SGN-L853-U50151|
loci2_rep_c10	SGN-U577971-5600|
loci2_rep_c10	SGN-U577971-8234|
loci2_rep_c10	SGN-U577971-853|
loci2_rep_c10	SGN-L853-U20593|
loci2_rep_c11	SGN-L5214-AF050495|
loci2_rep_c11	SGN-L5214-AF050496|
loci2_rep_c11	SGN-U568889-5214|
loci2_rep_c12	SGN-L495-AY566238|
loci2_rep_c12	SGN-U573648-495|
loci2_rep_c12	SGN-L495-DQ171940|
loci2_rep_c13	SGN-U567978-10|
loci2_rep_c13	SGN-L10-M34289|
loci2_rep_c13	SGN-L10-X59145|
loci2_rep_c13	SGN-L10-X62536|
loci2_rep_c13	SGN-L10-AY326958|
loci2_rep_c13	SGN-U595183-10|
loci2_rep_c13	SGN-L10-M83318|
loci2_rep_c14	SGN-L1515-AY531660|
loci2_rep_c14	SGN-U574287-1515|
loci2_rep_c14	SGN-L1515-AY452480|
loci2_c15	SGN-U569421-4476|
loci2_c15	SGN-L4476-EF581828.1|
loci2_c15	SGN-L4476-Z83835|
loci2_c15	SGN-L4476-EU004202.1|
loci2_rep_c16	SGN-L5058-EU021291.1|
loci2_rep_c16	SGN-U565446-5058|
loci2_rep_c16	SGN-L5058-DQ886531|
loci2_rep_c17	SGN-U567885-811|
loci2_rep_c17	SGN-L391-Y14387|
loci2_rep_c17	SGN-U567885-391|
loci2_rep_c17	SGN-L391-EU533951.1|
loci2_rep_c17	SGN-L811-Y14387|
loci2_rep_c17	SGN-L811-EU533951.1|
loci2_rep_c18	SGN-U577423-1194|
loci2_rep_c18	SGN-L1194-A15981.1|
loci2_rep_c18	SGN-L1194-X04583|
loci2_rep_c18	SGN-L1194-X05656|
loci2_rep_c18	SGN-L1194-AJ505947|
loci2_rep_c18	SGN-L1194-M20269|
loci2_rep_c18	SGN-L1194-S73807|
loci2_rep_c18	SGN-L1194-S73808|
loci2_rep_c18	SGN-L1194-AH004670.1|
loci2_rep_c19	SGN-L335-AY382676|
loci2_rep_c19	SGN-U566678-335|
loci2_rep_c19	SGN-L335-BT014530|
loci2_rep_c19	SGN-L335-AY382679|
loci2_rep_c20	SGN-L444-BT013783|
loci2_rep_c20	SGN-U585765-444|
loci2_rep_c20	SGN-L444-AF328785|
loci2_rep_c20	SGN-L444-AF498235|
loci2_rep_c20	SGN-L444-AK247228.1|
