#
#
# This file shows the consensi that have more than one tomato loci associated with them
# (which is a problem, because the consensi should be for one loci only). This could
# be due to a mistake in the database or because one of the sequences was actually an
# allele. Please see the bottom of the file to see the number of consensi affected.
#
#
consensi_id	 locus_id	       name		     locus_name
loci2_rep_c1	   5163		SGN-L5163-AJ249594   	PSTVd RNA-biding protein
loci2_rep_c1	   5163		SGN-L5163-AF190893   	PSTVd RNA-biding protein
loci2_rep_c1	   5513		SGN-U572928-5513   	arginine decarboxylase
loci2_rep_c1	   5163		SGN-L5163-AF190894   	PSTVd RNA-biding protein
loci2_rep_c1	   5163		SGN-U572928-5163   	PSTVd RNA-biding protein
loci2_rep_c1	   5163		SGN-L5163-AJ249595   	PSTVd RNA-biding protein
loci2_rep_c1	   5163		SGN-L5163-AJ249593   	PSTVd RNA-biding protein
loci2_rep_c1	   5163		SGN-L5163-AF190892   	PSTVd RNA-biding protein
loci2_rep_c1	   5163		SGN-L5163-AJ249592   	PSTVd RNA-biding protein
loci2_rep_c1	   5163		SGN-L5163-AF190891   	PSTVd RNA-biding protein
loci2_rep_c1	   5163		SGN-L5163-AK247066   	PSTVd RNA-biding protein
loci2_rep_c1	   5163		SGN-L5163-AJ421397   	PSTVd RNA-biding protein
loci2_rep_c2	   1599		SGN-L1599-A21360   	Phytoene synthase 1
loci2_rep_c2	   1599		SGN-U580527-1599   	Phytoene synthase 1
loci2_rep_c2	   5338		SGN-U580527-5338   	phytoene synthase
loci2_rep_c2	   1599		SGN-L1599-EF157836   	Phytoene synthase 1
loci2_rep_c2	   1599		SGN-L1599-AK247060   	Phytoene synthase 1
loci2_rep_c2	   1599		SGN-L1599-EF534739   	Phytoene synthase 1
loci2_rep_c2	   1599		SGN-L1599-EF650010   	Phytoene synthase 1
loci2_rep_c2	   1599		SGN-U590050-1599   	Phytoene synthase 1
loci2_rep_c2	   5338		SGN-U590050-5338   	phytoene synthase
loci2_rep_c3	   1335		SGN-L1335-AF279453   	sesquiterpene synthase 1
loci2_rep_c3	   4474		SGN-L4474-AF035631   	germacrene C
loci2_rep_c3	   1335		SGN-U572432-1335   	sesquiterpene synthase 1
loci2_rep_c3	   4474		SGN-U572432-4474   	germacrene C
loci2_rep_c3	   4471		SGN-U572432-4471   	sesquiterpene synthase 2
